Date,Open,High,Low,Close,Adj Close,Volume,Number,return,,,,,,
2018-11-29,35.369999,36.529999,34.959999,35.470001,35.470001,30100,5,1,,,,,,
2018-12-03,32,32.950001,31.83,32.599998,32.599998,3035600,2,-0.08091353,0,0.91908647,,,,
2018-12-06,39.77,41.619999,37.560001,37.790001,37.790001,297900,5,1,,,,,,
2018-12-10,40.380001,42.299999,39.689999,39.93,39.93,100400,2,0.05662871,1,1.05662871,,,,
2018-12-13,39.099998,39.900002,38.59,39.009998,39.009998,1107400,5,1,,,,,,
2018-12-17,40.98,43.41,40.380001,42.59,42.59,3723400,2,0.091771397,1,1.091771397,,,,
2018-12-20,43.75,46.150002,43.02,44.810001,44.810001,212600,5,1,,,,,,
2018-12-24,47.709999,49.459999,47.43,49.43,49.43,433600,2,0.103101962,1,1.103101962,,,,
2018-12-27,49.689999,51.98,48.41,48.790001,48.790001,1014900,5,1,,,,,,
2018-12-31,47.48,48.049999,46.889999,46.990002,46.990002,807600,2,-0.036892785,0,0.963107215,,,,
2019-01-03,46.599998,48.66,46.290001,47.639999,47.639999,1019900,5,1,,,,,,
2019-01-07,43.529999,44.141998,42.349998,42.880001,42.880001,2563500,2,-0.099915997,0,0.900084003,,,,
2019-01-10,41.75,42.279999,40.59,40.59,40.59,1811900,5,1,,,,,,
2019-01-14,40.400002,40.41,38.830002,39.380001,39.380001,1186900,2,-0.029810273,0,0.970189727,,,,
2019-01-17,38.700001,38.709999,37.419998,38,38,2495300,5,1,,,,,,
2019-01-24,40.150002,40.639999,38.150002,38.68,38.68,7312600,5,1,,,,,,
2019-01-28,38.59,39.990002,38.549999,38.77,38.77,19863500,2,0.002326784,1,1.002326784,,,,
2019-01-31,36.900002,36.919998,35.43,35.43,35.43,22093500,5,1,,,,,,
2019-02-04,34.93,35.16,33.84,34,34,18481800,2,-0.040361276,0,0.959638724,,,,
2019-02-07,34.549999,36.009998,34.02,34.650002,34.650002,29786500,5,1,,,,,,
2019-02-11,33.77,34.380001,33.52,33.860001,33.860001,13598500,2,-0.02279945,0,0.97720055,,,,
2019-02-14,33.93,34.540001,33.130001,33.77,33.77,26329900,5,1,,,,,,
2019-02-21,31.52,32.285,30.966999,31.790001,31.790001,23697800,5,1,,,,,,
